transaction_id,award_id,modification_number,action_date,action_type_code,action_obligation
CONT_AWD_0001_9700_W31P4Q15A0032_9700:B8,CONT_AWD_0001_9700_W31P4Q15A0032_9700,B8,2020-10-26,B,-341546.22
CONT_AWD_0001_9700_W31P4Q15A0032_9700:BA,CONT_AWD_0001_9700_W31P4Q15A0032_9700,BA,2021-08-04,D,-1177420.63
CONT_AWD_0001_9700_W31P4Q15A0032_9700:BH,CONT_AWD_0001_9700_W31P4Q15A0032_9700,BH,2025-02-20,C,-2238.0
CONT_AWD_0001_9700_W56KGY17D0019_9700:11,CONT_AWD_0001_9700_W56KGY17D0019_9700,11,2021-08-20,C,-563752.01
CONT_AWD_0002_9700_HC102813D0009_9700:47,CONT_AWD_0002_9700_HC102813D0009_9700,47,2020-10-20,K,-580402.7
CONT_AWD_0002_9700_M6785415D7806_9700:1,CONT_AWD_0002_9700_M6785415D7806_9700,1,2019-10-25,K,-1675.84
CONT_AWD_0002_9700_N0018916DZ003_9700:29,CONT_AWD_0002_9700_N0018916DZ003_9700,29,2023-08-02,C,-405899.58
CONT_AWD_0002_9700_N6523610D3823_9700:1A,CONT_AWD_0002_9700_N6523610D3823_9700,1A,2020-02-20,K,-115306.62
CONT_AWD_0002_9700_W81XWH12D0022_9700:13,CONT_AWD_0002_9700_W81XWH12D0022_9700,13,2019-06-10,D,-215568.91
CONT_AWD_0002_9700_W911W410D0020_9700:34,CONT_AWD_0002_9700_W911W410D0020_9700,34,2018-10-25,K,-938.88
CONT_AWD_0002_9700_W9127816D0049_9700:4,CONT_AWD_0002_9700_W9127816D0049_9700,4,2019-09-30,K,-5310.57
CONT_AWD_0003_9700_FA862015G4054_9700:27,CONT_AWD_0003_9700_FA862015G4054_9700,27,2023-08-31,C,-307811.36
CONT_AWD_0003_9700_FA877112D1005_9700:35,CONT_AWD_0003_9700_FA877112D1005_9700,35,2021-10-29,C,-248897.38
CONT_AWD_0003_9700_HC104713D4001_9700:31,CONT_AWD_0003_9700_HC104713D4001_9700,31,2020-12-10,K,-91933.7
CONT_AWD_0003_9700_N6523613D5823_9700:1A,CONT_AWD_0003_9700_N6523613D5823_9700,1A,2021-08-20,C,-123271.86
CONT_AWD_0003_9700_N6600115D0038_9700:1A,CONT_AWD_0003_9700_N6600115D0038_9700,1A,2021-07-14,K,-7606.85
CONT_AWD_0003_9700_S5121A15A0007_9700:3,CONT_AWD_0003_9700_S5121A15A0007_9700,3,2022-07-28,C,-133275.71
CONT_AWD_0003_9700_W52P1J16D0028_9700:8,CONT_AWD_0003_9700_W52P1J16D0028_9700,8,2019-02-27,C,432960.0
CONT_AWD_0003_9700_W52P1J16D0028_9700:16,CONT_AWD_0003_9700_W52P1J16D0028_9700,16,2021-06-03,C,-650205.27
CONT_AWD_0003_9700_W52P1J16D0028_9700:18,CONT_AWD_0003_9700_W52P1J16D0028_9700,18,2025-03-11,M,0.0
CONT_AWD_0003_9700_W5J9CQ12D0002_9700:1,CONT_AWD_0003_9700_W5J9CQ12D0002_9700,1,2019-02-21,K,-27500.28
CONT_AWD_0004_9700_H9222209D0048_9700:1A,CONT_AWD_0004_9700_H9222209D0048_9700,1A,2023-08-07,K,0.0
CONT_AWD_0004_9700_H9224015D0018_9700:12,CONT_AWD_0004_9700_H9224015D0018_9700,12,2022-09-15,D,-446972.57
CONT_AWD_0004_9700_HC102813D0011_9700:76,CONT_AWD_0004_9700_HC102813D0011_9700,76,2023-05-24,M,-4419473.0
CONT_AWD_0004_9700_HC102813D0011_9700:77,CONT_AWD_0004_9700_HC102813D0011_9700,77,2023-06-22,K,-181871.52
CONT_AWD_0004_9700_HC102813D0012_9700:50,CONT_AWD_0004_9700_HC102813D0012_9700,50,2023-09-11,K,-713659.97
CONT_AWD_0004_9700_HC102815D0007_9700:26,CONT_AWD_0004_9700_HC102815D0007_9700,26,2021-07-06,B,-1946691.27
CONT_AWD_0004_9700_HC102815D0007_9700:33,CONT_AWD_0004_9700_HC102815D0007_9700,33,2022-06-09,C,-1150276.08
CONT_AWD_0004_9700_HC102815D0007_9700:42,CONT_AWD_0004_9700_HC102815D0007_9700,42,2024-06-06,C,-581083.6
CONT_AWD_0004_9700_HC102815D0007_9700:45,CONT_AWD_0004_9700_HC102815D0007_9700,45,2025-04-01,C,-1106412.05
CONT_AWD_0004_9700_HC102815D0007_9700:49,CONT_AWD_0004_9700_HC102815D0007_9700,49,2025-09-16,C,-916751.9
CONT_AWD_0004_9700_HC102816D0007_9700:1,CONT_AWD_0004_9700_HC102816D0007_9700,1,2020-09-24,K,-860172.6
CONT_AWD_0004_9700_HQ003414D0026_9700:23,CONT_AWD_0004_9700_HQ003414D0026_9700,23,2023-06-23,M,-600745.96
CONT_AWD_0004_9700_HQ003414D0026_9700:24,CONT_AWD_0004_9700_HQ003414D0026_9700,24,2024-02-01,M,-373270.74
CONT_AWD_0004_9700_N6523613D4940_9700:23,CONT_AWD_0004_9700_N6523613D4940_9700,23,2020-12-28,M,-335512.57
CONT_AWD_0004_9700_N6523613D4940_9700:24,CONT_AWD_0004_9700_N6523613D4940_9700,24,2021-02-18,M,-129000.52
CONT_AWD_0004_9700_SP470917D0015_9700:8,CONT_AWD_0004_9700_SP470917D0015_9700,8,2020-04-08,F,-6298.71
CONT_AWD_0004_9700_W91RUS16D0001_9700:4,CONT_AWD_0004_9700_W91RUS16D0001_9700,4,2019-08-27,M,-1073761.16
CONT_AWD_0005_9700_FA877112D1011_9700:24,CONT_AWD_0005_9700_FA877112D1011_9700,24,2020-07-02,C,-125755.38
CONT_AWD_0005_9700_H9222211D0017_9700:50,CONT_AWD_0005_9700_H9222211D0017_9700,50,2020-02-18,B,-1043521.94
CONT_AWD_0006_9700_SP470917D0017_9700:12,CONT_AWD_0006_9700_SP470917D0017_9700,12,2022-03-01,M,-139733.16
CONT_AWD_0007_9700_N6600111D0057_9700:1B,CONT_AWD_0007_9700_N6600111D0057_9700,1B,2019-03-06,M,-207472.85
CONT_AWD_0007_9700_SP470113A0191_9700:13,CONT_AWD_0007_9700_SP470113A0191_9700,13,2019-09-28,C,-151333.1
CONT_AWD_0007_9700_W15P7T06DE404_9700:95,CONT_AWD_0007_9700_W15P7T06DE404_9700,95,2022-02-23,C,-1767227.55
CONT_AWD_0007_9700_W74V8H04D0029_9700:4,CONT_AWD_0007_9700_W74V8H04D0029_9700,4,2022-02-07,K,-1439786.43
CONT_AWD_0007_9700_W900KK13D0002_9700:8,CONT_AWD_0007_9700_W900KK13D0002_9700,8,2019-06-07,M,-513962.66
CONT_AWD_0007_9700_W900KK13D0002_9700:9,CONT_AWD_0007_9700_W900KK13D0002_9700,9,2019-11-20,B,-135505.56
CONT_AWD_0007_9700_W900KK13D0002_9700:10,CONT_AWD_0007_9700_W900KK13D0002_9700,10,2020-06-09,B,-517719.28
CONT_AWD_0007_9700_W900KK13D0002_9700:11,CONT_AWD_0007_9700_W900KK13D0002_9700,11,2022-03-23,C,-310017.0
CONT_AWD_0007_9700_W911S011D0055_9700:1,CONT_AWD_0007_9700_W911S011D0055_9700,1,2020-05-18,K,-17030.8
CONT_AWD_0007_9700_W912DR10D0028_9700:2,CONT_AWD_0007_9700_W912DR10D0028_9700,2,2022-08-30,C,-294230.73
CONT_AWD_0007_9700_W912HZ15D0002_9700:6,CONT_AWD_0007_9700_W912HZ15D0002_9700,6,2021-01-21,K,-3817.83
CONT_AWD_0008_9700_W52P1J18D0027_9700:2,CONT_AWD_0008_9700_W52P1J18D0027_9700,2,2020-09-02,C,-391275.39
CONT_AWD_0009_9700_HC102813A0015_9700:3,CONT_AWD_0009_9700_HC102813A0015_9700,3,2020-03-05,K,-10000.45
CONT_AWD_0009_9700_HQ003411D0002_9700:3,CONT_AWD_0009_9700_HQ003411D0002_9700,3,2019-02-05,K,-4000.0
CONT_AWD_0010_9700_W900KK11D0006_9700:18,CONT_AWD_0010_9700_W900KK11D0006_9700,18,2021-07-28,C,-491167.13
CONT_AWD_0010_9700_W912DY15D0008_9700:6,CONT_AWD_0010_9700_W912DY15D0008_9700,6,2021-06-28,B,-173305.31
CONT_AWD_0011_9700_HTC71114DD001_9700:10,CONT_AWD_0011_9700_HTC71114DD001_9700,10,2019-06-27,K,-35782.1
CONT_AWD_0011_9700_N0018915DZ035_9700:7,CONT_AWD_0011_9700_N0018915DZ035_9700,7,2021-09-28,C,-393439.45
CONT_AWD_0011_9700_W912DY14D0050_9700:3,CONT_AWD_0011_9700_W912DY14D0050_9700,3,2018-12-21,D,-131085.9
CONT_AWD_0011_9700_W912DY14D0050_9700:5,CONT_AWD_0011_9700_W912DY14D0050_9700,5,2020-05-13,M,-3095216.65
CONT_AWD_0011_9700_W912DY14D0050_9700:7,CONT_AWD_0011_9700_W912DY14D0050_9700,7,2021-08-05,K,-122435.59
CONT_AWD_0012_9700_DASW0198D0030_9700:1A,CONT_AWD_0012_9700_DASW0198D0030_9700,1A,2018-12-20,K,0.0
CONT_AWD_0012_9700_H9821013D0003_9700:1,CONT_AWD_0012_9700_H9821013D0003_9700,1,2019-10-04,K,-5750.42
CONT_AWD_0012_9700_W912HZ15D0002_9700:5,CONT_AWD_0012_9700_W912HZ15D0002_9700,5,2021-12-08,K,-1271.43
CONT_AWD_0014_9700_H9821013D0003_9700:1,CONT_AWD_0014_9700_H9821013D0003_9700,1,2019-10-04,K,-14156.8
CONT_AWD_0014_9700_HC104713D4000_9700:23,CONT_AWD_0014_9700_HC104713D4000_9700,23,2019-09-13,D,-125386.4
CONT_AWD_0014_9700_HQ014712D0003_9700:71,CONT_AWD_0014_9700_HQ014712D0003_9700,71,2019-03-07,C,-269000.0
CONT_AWD_0014_9700_HQ014712D0003_9700:77,CONT_AWD_0014_9700_HQ014712D0003_9700,77,2019-07-31,C,-325000.0
CONT_AWD_0014_9700_HQ014712D0003_9700:86,CONT_AWD_0014_9700_HQ014712D0003_9700,86,2022-09-08,C,-334860.48
CONT_AWD_0014_9700_HQ014712D0003_9700:87,CONT_AWD_0014_9700_HQ014712D0003_9700,87,2023-01-09,C,-219915.0
CONT_AWD_0014_9700_HQ014712D0003_9700:89,CONT_AWD_0014_9700_HQ014712D0003_9700,89,2025-07-30,C,-397480.01
CONT_AWD_0014_9700_W911S011D0050_9700:1,CONT_AWD_0014_9700_W911S011D0050_9700,1,2019-03-01,K,-17365.36
CONT_AWD_0015_9700_FA862014G3043_9700:2,CONT_AWD_0015_9700_FA862014G3043_9700,2,2022-06-21,B,-110930.66
CONT_AWD_0015_9700_HC102813D0014_9700:2,CONT_AWD_0015_9700_HC102813D0014_9700,2,2026-03-04,M,-652397.44
CONT_AWD_0015_9700_W911S011D0052_9700:3,CONT_AWD_0015_9700_W911S011D0052_9700,3,2019-01-15,K,-4084.48
CONT_AWD_0015_9700_W91RUS14D0003_9700:2,CONT_AWD_0015_9700_W91RUS14D0003_9700,2,2021-08-25,C,-314275.7
CONT_AWD_0016_9700_HC104713D4000_9700:12,CONT_AWD_0016_9700_HC104713D4000_9700,12,2019-12-04,M,-207074.71
CONT_AWD_0016_9700_N0017804D4091_9700:97,CONT_AWD_0016_9700_N0017804D4091_9700,97,2019-04-18,C,-464488.72
CONT_AWD_0016_9700_N0017804D4091_9700:1A,CONT_AWD_0016_9700_N0017804D4091_9700,1A,2025-07-28,B,-466714.95
CONT_AWD_0018_9700_W74V8H04D0030_9700:1B,CONT_AWD_0018_9700_W74V8H04D0030_9700,1B,2021-05-14,M,-216994.57
CONT_AWD_0018_9700_W74V8H04D0030_9700:1D,CONT_AWD_0018_9700_W74V8H04D0030_9700,1D,2021-05-27,M,-215114.4
CONT_AWD_0019_9700_W912DY14D0063_9700:6,CONT_AWD_0019_9700_W912DY14D0063_9700,6,2019-02-11,M,0.0
CONT_AWD_0022_9700_HDTRA108D0016_9700:39,CONT_AWD_0022_9700_HDTRA108D0016_9700,39,2022-09-30,C,-648424.38
CONT_AWD_0022_9700_W58RGZ15D0003_9700:4,CONT_AWD_0022_9700_W58RGZ15D0003_9700,4,2019-07-10,C,902993.52
CONT_AWD_0024_9700_HC102813D0013_9700:5,CONT_AWD_0024_9700_HC102813D0013_9700,5,2019-03-19,K,-65927.61
CONT_AWD_0024_9700_HC102813D0014_9700:2,CONT_AWD_0024_9700_HC102813D0014_9700,2,2021-09-29,K,-573319.86
CONT_AWD_0026_9700_HC101306D2007_9700:5,CONT_AWD_0026_9700_HC101306D2007_9700,5,2019-05-07,K,-19495.08
CONT_AWD_0027_9700_HC102813D0013_9700:12,CONT_AWD_0027_9700_HC102813D0013_9700,12,2020-12-04,K,-18148.88
CONT_AWD_0033_9700_SP470110A0131_9700:6,CONT_AWD_0033_9700_SP470110A0131_9700,6,2020-03-03,C,-226124.4
CONT_AWD_0036_9700_FA875012D0001_9700:1A,CONT_AWD_0036_9700_FA875012D0001_9700,1A,2021-07-20,B,-247740.21
CONT_AWD_0036_9700_W912DY14D0063_9700:2,CONT_AWD_0036_9700_W912DY14D0063_9700,2,2019-09-13,M,0.0
CONT_AWD_0039_9700_W9128Z11D0005_9700:6,CONT_AWD_0039_9700_W9128Z11D0005_9700,6,2021-07-26,K,-34482.96
CONT_AWD_0040_9700_DCA10002D4006_9700:17,CONT_AWD_0040_9700_DCA10002D4006_9700,17,2023-06-30,K,-101422.46
CONT_AWD_0040_9700_W911QY13D0047_9700:5,CONT_AWD_0040_9700_W911QY13D0047_9700,5,2022-04-26,C,-178729.82
CONT_AWD_0044_9700_DCA20000D5020_9700:15,CONT_AWD_0044_9700_DCA20000D5020_9700,15,2024-08-09,K,-97967.05
CONT_AWD_0049_9700_DAAH2303D0015_9700:1A,CONT_AWD_0049_9700_DAAH2303D0015_9700,1A,2019-04-03,K,0.0
CONT_AWD_0050_9700_HC102813D0013_9700:11,CONT_AWD_0050_9700_HC102813D0013_9700,11,2019-04-05,M,-194409.17
CONT_AWD_0056_9700_DCA20000D5020_9700:8,CONT_AWD_0056_9700_DCA20000D5020_9700,8,2024-07-19,K,-17613.91
CONT_AWD_0058_9700_DCA20000D5020_9700:10,CONT_AWD_0058_9700_DCA20000D5020_9700,10,2018-10-09,K,-115039.59
CONT_AWD_0058_9700_W56HZV11DL501_9700:12,CONT_AWD_0058_9700_W56HZV11DL501_9700,12,2019-07-08,D,-477243.7
CONT_AWD_0059_9700_W5J9CQ12D0004_9700:4,CONT_AWD_0059_9700_W5J9CQ12D0004_9700,4,2019-10-31,C,-108101.72
CONT_AWD_0063_9700_W9128Z11D0005_9700:9,CONT_AWD_0063_9700_W9128Z11D0005_9700,9,2022-09-06,C,-194900.28
CONT_AWD_0065_9700_DCA20000D5020_9700:16,CONT_AWD_0065_9700_DCA20000D5020_9700,16,2024-08-09,K,-100178.32
CONT_AWD_0070_9700_DAAH2303D0015_9700:1A,CONT_AWD_0070_9700_DAAH2303D0015_9700,1A,2019-03-21,K,0.0
CONT_AWD_0083_9700_HC102813D0013_9700:6,CONT_AWD_0083_9700_HC102813D0013_9700,6,2020-07-28,K,-135680.46
CONT_AWD_0084_9700_W911W608D0002_9700:5,CONT_AWD_0084_9700_W911W608D0002_9700,5,2020-02-26,C,-157522.26
CONT_AWD_0085_9700_W91WAW12D0010_9700:3,CONT_AWD_0085_9700_W91WAW12D0010_9700,3,2019-08-26,K,-11734.81
CONT_AWD_0089_9700_W912DY11D0018_9700:5,CONT_AWD_0089_9700_W912DY11D0018_9700,5,2024-05-09,C,-578991.74
CONT_AWD_0099_9700_DAAH2303D0015_9700:1A,CONT_AWD_0099_9700_DAAH2303D0015_9700,1A,2020-03-05,K,-3444.97
CONT_AWD_00A2_9700_W81XWH15D0028_9700:7,CONT_AWD_00A2_9700_W81XWH15D0028_9700,7,2021-03-24,B,-129194.31
CONT_AWD_0103_9700_DAAH2303D0015_9700:1A,CONT_AWD_0103_9700_DAAH2303D0015_9700,1A,2020-03-09,K,-10703.18
CONT_AWD_0106_9700_HC102813D0013_9700:18,CONT_AWD_0106_9700_HC102813D0013_9700,18,2020-11-25,K,-119461.55
CONT_AWD_0121_9700_HC102813D0013_9700:4,CONT_AWD_0121_9700_HC102813D0013_9700,4,2018-10-04,K,-1211.16
CONT_AWD_0123_9700_N0018907DZ046_9700:4,CONT_AWD_0123_9700_N0018907DZ046_9700,4,2021-09-13,C,-115943.51
CONT_AWD_0137_9700_HC102813D0013_9700:5,CONT_AWD_0137_9700_HC102813D0013_9700,5,2020-10-21,K,-11130.05
CONT_AWD_0145_9700_HC102813D0013_9700:2,CONT_AWD_0145_9700_HC102813D0013_9700,2,2020-08-13,K,-35104.05
CONT_AWD_0157_9700_N6523605D6850_9700:1A,CONT_AWD_0157_9700_N6523605D6850_9700,1A,2024-03-07,K,0.0
CONT_AWD_0158_9700_N6523605D6850_9700:1A,CONT_AWD_0158_9700_N6523605D6850_9700,1A,2024-03-07,K,0.0
CONT_AWD_0168_9700_DCA20002D5010_9700:5,CONT_AWD_0168_9700_DCA20002D5010_9700,5,2019-10-08,K,-13530.21
CONT_AWD_0277_9700_N0018910DZ009_9700:1A,CONT_AWD_0277_9700_N0018910DZ009_9700,1A,2019-03-18,K,-27206.63
CONT_AWD_0307_9700_N0018910DZ009_9700:1A,CONT_AWD_0307_9700_N0018910DZ009_9700,1A,2019-03-27,K,-8429.34
CONT_AWD_0323_9700_N0018910DZ009_9700:1A,CONT_AWD_0323_9700_N0018910DZ009_9700,1A,2019-03-18,K,-26663.34
CONT_AWD_0331_9700_N0018910DZ009_9700:1A,CONT_AWD_0331_9700_N0018910DZ009_9700,1A,2019-03-18,K,-67579.73
CONT_AWD_0333_9700_N0018910DZ009_9700:1A,CONT_AWD_0333_9700_N0018910DZ009_9700,1A,2019-03-18,K,-76855.9
CONT_AWD_0457_9700_SP470107A0001_9700:10,CONT_AWD_0457_9700_SP470107A0001_9700,10,2021-11-03,M,-205666.0
CONT_AWD_0491_9700_SP470107A0001_9700:5,CONT_AWD_0491_9700_SP470107A0001_9700,5,2019-07-31,C,-110080.1
CONT_AWD_0493_9700_SP470107A0001_9700:6,CONT_AWD_0493_9700_SP470107A0001_9700,6,2019-10-15,C,-217244.88
CONT_AWD_0502_9700_N0018910DZ009_9700:1A,CONT_AWD_0502_9700_N0018910DZ009_9700,1A,2021-08-20,C,-216010.18
CONT_AWD_0506_9700_SP470107A0001_9700:7,CONT_AWD_0506_9700_SP470107A0001_9700,7,2019-09-04,C,-132413.87
CONT_AWD_1N01_9700_W91QUZ11D0011_9700:7,CONT_AWD_1N01_9700_W91QUZ11D0011_9700,7,2019-09-23,K,-20120.95
CONT_AWD_2T01_9700_W91QUZ11D0008_9700:10,CONT_AWD_2T01_9700_W91QUZ11D0008_9700,10,2022-03-30,K,0.0
CONT_AWD_BD01_9700_W91QUZ07D0005_9700:5,CONT_AWD_BD01_9700_W91QUZ07D0005_9700,5,2022-03-11,M,-118397.16
CONT_AWD_EH09_9700_N0017804D4065_9700:35,CONT_AWD_EH09_9700_N0017804D4065_9700,35,2018-10-11,C,279411.0
CONT_AWD_EH09_9700_N0017804D4065_9700:37,CONT_AWD_EH09_9700_N0017804D4065_9700,37,2018-11-20,M,-2418300.0
CONT_AWD_EH09_9700_N0017804D4065_9700:54,CONT_AWD_EH09_9700_N0017804D4065_9700,54,2020-06-22,C,-214083.37
CONT_AWD_EH09_9700_N0017804D4065_9700:59,CONT_AWD_EH09_9700_N0017804D4065_9700,59,2020-12-09,C,-573300.0
CONT_AWD_EH09_9700_N0017804D4065_9700:67,CONT_AWD_EH09_9700_N0017804D4065_9700,67,2021-12-01,C,-105887.0
CONT_AWD_EH09_9700_N0017804D4065_9700:69,CONT_AWD_EH09_9700_N0017804D4065_9700,69,2024-03-15,C,-736342.6
CONT_AWD_EH09_9700_N0017804D4065_9700:1A,CONT_AWD_EH09_9700_N0017804D4065_9700,1A,2024-05-02,B,-1113452.66
CONT_AWD_EH09_9700_N0017804D4065_9700:1B,CONT_AWD_EH09_9700_N0017804D4065_9700,1B,2025-04-07,B,-178774.89
CONT_AWD_EX02_9700_N0017804D4034_9700:32,CONT_AWD_EX02_9700_N0017804D4034_9700,32,2020-08-25,M,-580000.0
CONT_AWD_EX09_9700_N0017804D4119_9700:27,CONT_AWD_EX09_9700_N0017804D4119_9700,27,2020-03-04,C,-450000.0
CONT_AWD_EX09_9700_N0017804D4119_9700:28,CONT_AWD_EX09_9700_N0017804D4119_9700,28,2020-08-12,C,-347617.81
CONT_AWD_EX09_9700_N0017804D4119_9700:29,CONT_AWD_EX09_9700_N0017804D4119_9700,29,2023-08-10,C,-553709.41
CONT_AWD_F0960303C0204_9700_-NONE-_-NONE-:A00001,CONT_AWD_F0960303C0204_9700_-NONE-_-NONE-,A00001,2019-01-23,C,-133003.54
CONT_AWD_F411_9700_W91QUZ07D0005_9700:37,CONT_AWD_F411_9700_W91QUZ07D0005_9700,37,2019-05-29,M,-174393.82
CONT_AWD_F411_9700_W91QUZ07D0005_9700:38,CONT_AWD_F411_9700_W91QUZ07D0005_9700,38,2020-01-21,C,-374535.51
CONT_AWD_F901_9700_W91QUZ11D0014_9700:7,CONT_AWD_F901_9700_W91QUZ11D0014_9700,7,2019-03-07,C,-110424.65
CONT_AWD_FA205724FB024_9700_FA872622DB001_9700:P00004,CONT_AWD_FA205724FB024_9700_FA872622DB001_9700,P00004,2025-07-07,C,1283880.0
CONT_AWD_FA228024F0030_9700_FA228022G0001_9700:P00002,CONT_AWD_FA228024F0030_9700_FA228022G0001_9700,P00002,2025-12-30,M,0.0
CONT_AWD_FA228025F0016_9700_FA228022G0001_9700:P00002,CONT_AWD_FA228025F0016_9700_FA228022G0001_9700,P00002,2025-12-30,B,0.0
CONT_AWD_FA248723FA012_9700_FA248720D0005_9700:P00007,CONT_AWD_FA248723FA012_9700_FA248720D0005_9700,P00007,2025-09-11,B,0.0
CONT_AWD_FA251721C0001_9700_-NONE-_-NONE-:P00015,CONT_AWD_FA251721C0001_9700_-NONE-_-NONE-,P00015,2025-12-12,G,330931.2
CONT_AWD_FA251722P0058_9700_-NONE-_-NONE-:P00004,CONT_AWD_FA251722P0058_9700_-NONE-_-NONE-,P00004,2025-09-26,D,0.0
CONT_AWD_FA251723F0048_9700_FA251719DA001_9700:P00002,CONT_AWD_FA251723F0048_9700_FA251719DA001_9700,P00002,2024-10-02,M,0.0
CONT_AWD_FA251822F0056_9700_FA251822D0001_9700:P00003,CONT_AWD_FA251822F0056_9700_FA251822D0001_9700,P00003,2024-01-04,B,0.0
CONT_AWD_FA251823F0035_9700_FA251822D0001_9700:P00002,CONT_AWD_FA251823F0035_9700_FA251822D0001_9700,P00002,2024-04-22,B,0.0
CONT_AWD_FA251824F0040_9700_FA251822D0001_9700:P00004,CONT_AWD_FA251824F0040_9700_FA251822D0001_9700,P00004,2026-01-22,B,0.0
CONT_AWD_FA251825FA009_9700_FA251822D0001_9700:P00001,CONT_AWD_FA251825FA009_9700_FA251822D0001_9700,P00001,2026-01-22,B,0.0
CONT_AWD_FA252123F0291_9700_FA252123A0016_9700:0,CONT_AWD_FA252123F0291_9700_FA252123A0016_9700,0,2023-09-15,,509383.0
CONT_AWD_FA252123F0291_9700_FA252123A0016_9700:P00012,CONT_AWD_FA252123F0291_9700_FA252123A0016_9700,P00012,2026-01-29,B,401945.64
CONT_AWD_FA282318C8001_9700_-NONE-_-NONE-:P00007,CONT_AWD_FA282318C8001_9700_-NONE-_-NONE-,P00007,2023-03-17,G,48518.4
CONT_AWD_FA300217C0011_9700_-NONE-_-NONE-:P00004,CONT_AWD_FA300217C0011_9700_-NONE-_-NONE-,P00004,2019-01-16,K,-0.02
CONT_AWD_FA300218F0018_9700_GS35F717GA_4732:P00005,CONT_AWD_FA300218F0018_9700_GS35F717GA_4732,P00005,2020-03-26,C,-272143.85
CONT_AWD_FA300218F0018_9700_GS35F717GA_4732:P00012,CONT_AWD_FA300218F0018_9700_GS35F717GA_4732,P00012,2022-12-19,C,-184880.76
CONT_AWD_FA300220C0006_9700_-NONE-_-NONE-:P00004,CONT_AWD_FA300220C0006_9700_-NONE-_-NONE-,P00004,2023-03-17,D,208098.08
CONT_AWD_FA300222F0103_9700_FA300222D0006_9700:P00002,CONT_AWD_FA300222F0103_9700_FA300222D0006_9700,P00002,2024-10-15,C,-304744.41
CONT_AWD_FA301617C0016_9700_-NONE-_-NONE-:P00010,CONT_AWD_FA301617C0016_9700_-NONE-_-NONE-,P00010,2020-07-20,B,-134524.7
CONT_AWD_FA441822F0016_9700_47QTCA19D00HC_4732:P00002,CONT_AWD_FA441822F0016_9700_47QTCA19D00HC_4732,P00002,2022-07-26,M,-600000.0
CONT_AWD_FA441822F0016_9700_47QTCA19D00HC_4732:P00004,CONT_AWD_FA441822F0016_9700_47QTCA19D00HC_4732,P00004,2023-02-13,M,-980592.46
CONT_AWD_FA441822F0016_9700_47QTCA19D00HC_4732:P00006,CONT_AWD_FA441822F0016_9700_47QTCA19D00HC_4732,P00006,2024-03-28,M,-963238.63
CONT_AWD_FA445213C0007_9700_-NONE-_-NONE-:P00035,CONT_AWD_FA445213C0007_9700_-NONE-_-NONE-,P00035,2019-06-20,M,-342243.16
CONT_AWD_FA445214C0009_9700_-NONE-_-NONE-:P00024,CONT_AWD_FA445214C0009_9700_-NONE-_-NONE-,P00024,2021-05-19,K,-160367.55
CONT_AWD_FA445218C0013_9700_-NONE-_-NONE-:P00025,CONT_AWD_FA445218C0013_9700_-NONE-_-NONE-,P00025,2019-11-20,M,-169151.99
