candidate_id,linked_notice_id,linked_notice_type,link_confidence,link_reason
RC-CONT_AWD_0007_9700_W911S011D0055_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_W912DR10D0028_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_W912HZ15D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0008_9700_N0003309D6503_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0008_9700_W52P1J18D0027_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0009_9700_HC102813A0015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0009_9700_HQ003411D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0009_9700_N0003310D6501_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0009_9700_N6523613D4897_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0009_9700_N6893612D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0009_9700_SP470114D0007_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0009_9700_W81XWH12D0022_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0010_9700_HC104714D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0010_9700_N6600111D0031_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0010_9700_W900KK11D0006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0010_9700_W912DY15D0008_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0011_9700_FA460012D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0011_9700_HTC71114DD001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0011_9700_N0018915DZ035_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0011_9700_SP470116D2001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0011_9700_W912DY14D0050_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0012_9700_DASW0198D0030_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0012_9700_H9821013D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0012_9700_MDA22002A0006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0012_9700_N0018907DZ015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0012_9700_N0018907DZ025_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0012_9700_N0018913DZ009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0012_9700_W911QY16D0028_9700,945f9340ad4cf62f33ba2c1f84cf9e73,Modification/Amendment/Cancel,Low,loosened title 65 (corroborated); NAICS match
RC-CONT_AWD_0012_9700_W912HZ15D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0013_9700_HQ042507A0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0013_9700_N6523610D3820_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0013_9700_N6523611D3854_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0013_9700_N6893616D0016_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0013_9700_SP470113A0200_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0013_9700_W74V8H04D0030_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0013_9700_W91CRB05D0007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0014_9700_DAAB1501D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0014_9700_FA862014G3043_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0014_9700_H9821013D0003_9700,,,No Match,"Only match(es) posted outside the recency window around this award's expiration or before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0014_9700_HC104713D4000_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0014_9700_HQ014712D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0014_9700_N0003309D6503_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0014_9700_W58RGZ15D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0014_9700_W911S011D0050_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0015_9700_FA862014G3043_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0015_9700_HC102813D0014_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0015_9700_N6600114D0054_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0015_9700_SP470111A0151_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0015_9700_W911S011D0052_9700,,,No Match,"Only match(es) posted outside the recency window around this award's expiration or before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0015_9700_W91RUS14D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0016_9700_HC104713D4000_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0016_9700_N0017804D4091_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0016_9700_N0042114D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0016_9700_SP010302D0016_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0017_9700_N0018913DZ009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0017_9700_W912DY11D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0018_9700_W74V8H04D0030_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0018_9700_W912DY11D0005_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0018_9700_W912DY14D0050_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0019_9700_SP470110A0131_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0019_9700_W912DY14D0063_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0020_9700_W912DY15D0008_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0021_9700_W74V8H04D0030_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0021_9700_W912DY15D0011_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0022_9700_HDTRA108D0016_9700,945f9340ad4cf62f33ba2c1f84cf9e73,Modification/Amendment/Cancel,Medium,title similarity 76; place-of-performance match
RC-CONT_AWD_0022_9700_N0003910D0001_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0022_9700_W58RGZ15D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0022_9700_W74V8H04D0036_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0022_9700_W912DY15D0012_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0023_9700_H9222211D0021_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0023_9700_W5J9CQ12D0004_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0024_9700_H9222211D0021_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0024_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0024_9700_HC102813D0014_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0024_9700_N6600111D0031_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0024_9700_W74V8H04D0036_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0024_9700_W911QY12D0010_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0024_9700_W912DY15D0012_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0025_9700_N0017804D4119_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0025_9700_SP470110A0131_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0026_9700_F0863502D0035_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0026_9700_HC101306D2007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0026_9700_W912DY15D0011_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0027_9700_F1962898D0032_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0027_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0028_9700_HC102811A0107_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0028_9700_N0003306D6507_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0028_9700_N6600112D0020_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0029_9700_W74V8H04D0036_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0029_9700_W912DY15D0012_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0030_9700_W74V8H04D0036_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0030_9700_W912DY15D0012_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0031_9700_N0018915DQ002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0031_9700_SP470111A0171_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0032_9700_FA875012D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0032_9700_W911S011D0052_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0033_9700_SP470110A0131_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0033_9700_W912DY15D0012_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0034_9700_SP470111A0171_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0035_9700_W911S011D0051_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0036_9700_FA875012D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0036_9700_SP470107A0031_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0036_9700_W912DY14D0063_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0039_9700_W9128Z11D0005_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0039_9700_W9128Z11D0006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0040_9700_DCA10002D4006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0040_9700_FA942212D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0040_9700_HQ042310D0003_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0040_9700_SP470113A0200_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0040_9700_W911QY13D0047_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0041_9700_SP470113A0200_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0042_9700_N0003306D6508_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0044_9700_DCA20000D5020_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0048_9700_H9222211D0006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0048_9700_N6600111D0031_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0049_9700_DAAH2303D0015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0050_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0056_9700_DCA20000D5020_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0058_9700_DCA20000D5020_9700,,,No Match,"Only match(es) posted outside the recency window around this award's expiration or before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0058_9700_W56HZV11DL501_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0059_9700_W5J9CQ12D0004_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0063_9700_W9128Z11D0005_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0064_9700_N0003914D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0064_9700_W56HZV11DL501_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0065_9700_DCA20000D5020_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0066_9700_H9222211D0008_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0069_9700_N6600109D0061_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0070_9700_DAAH2303D0015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0073_9700_W911W608D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0074_9700_W74V8H04D0040_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0083_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0084_9700_W911W608D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0085_9700_N6523610D5829_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0085_9700_W91WAW12D0010_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0087_9700_FA862009G3049_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0088_9700_H9222211D0008_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0089_9700_W912DY11D0018_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0097_9700_H9222211D0008_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0099_9700_DAAH2303D0015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_00A2_9700_W81XWH15D0028_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0103_9700_DAAH2303D0015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0104_9700_N0018907DZ046_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0106_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0113_9700_N0018907DZ046_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0114_9700_N0018907DZ046_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0118_9700_N0018907DZ046_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0119_9700_FA877111D1006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0121_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0122_9700_FA877111D1006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0123_9700_N0018907DZ046_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0132_9700_SP470112D0006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0137_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0145_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0157_9700_N6523605D6850_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0158_9700_N6523605D6850_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0161_9700_SP470112D0006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0168_9700_DCA20002D5010_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0196_9700_N6523608D5802_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0229_9700_N6523608D5802_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0277_9700_N0018910DZ009_9700,,,No Match,"Only match(es) posted outside the recency window around this award's expiration or before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0307_9700_N0018910DZ009_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0323_9700_N0018910DZ009_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0331_9700_N0018910DZ009_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0333_9700_N0018910DZ009_9700,,,No Match,"Only match(es) posted before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0336_9700_SP470107A0001_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0397_9700_N6523607D6880_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0419_9700_N0003309D6503_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0457_9700_SP470107A0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0491_9700_SP470107A0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0493_9700_SP470107A0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0501_9700_N0003309D6503_9700,,,No Match,No notice cleared the minimum match threshold
