award_id,piid,referenced_idv_piid,award_type,awardee_name_raw,awardee_name_clean,awardee_uei,awarding_agency_raw,awarding_agency_clean,awarding_subagency_raw,awarding_subagency_clean,funding_agency_clean,date_signed,total_obligated_amount,potential_value,pop_start_date,pop_current_end_date,pop_potential_end_date,naics,psc,extent_competed,extent_competed_code,type_of_contract_pricing,type_of_contract_pricing_code,type_of_set_aside,type_of_set_aside_code,number_of_offers_received,base_and_all_options_value,place_of_performance_state,missing_end_date_flag,missing_vendor_flag,missing_agency_flag,data_quality_notes,source_system,business_size_determination_code,cyber_it_flag,cyber_flag,it_services_flag,cloud_flag,data_analytics_flag,software_dev_flag,network_ops_flag,help_desk_flag,compliance_security_flag,classification_confidence
CONT_AWD_H9241524C0009_9700_-NONE-_-NONE-,H9241524C0009,,DEFINITIVE CONTRACT,"PROGRESSIVE EXPERT CONSULTING, INC.","PROGRESSIVE EXPERT CONSULTING, INC",NJEFME8MJRR1,Department of Defense,DEPARTMENT OF DEFENSE,U.S. Special Operations Command,U.S. SPECIAL OPERATIONS COMMAND,DEPARTMENT OF DEFENSE,2026-03-05,9888765.11,37609402.68,2024-07-20,2026-07-19,2029-07-19,541512,DA01,NOT COMPETED,C,FIRM FIXED PRICE,J,NO SET ASIDE USED.,NONE,1.0,0.0,NY,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Medium
CONT_AWD_M0026424F0089_9700_NNG15SD70B_8000,M0026424F0089,NNG15SD70B,DELIVERY ORDER,"STANDARD-BLAZAR, LLC","STANDARD-BLAZAR, LLC",DZ9XM5UDFN29,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2026-03-05,1944980.94,1944980.94,2024-03-09,2027-03-08,2027-03-08,541519,DA10,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,1.0,0.0,MO,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_HQ084723C0001_9700_-NONE-_-NONE-,HQ084723C0001,,DEFINITIVE CONTRACT,VECTRUS SYSTEMS LLC,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,Department of Defense,DEPARTMENT OF DEFENSE,Washington Headquarters Services,WASHINGTON HEADQUARTERS SERVICES,DEPARTMENT OF DEFENSE,2026-03-05,7371179.0,10587541.0,2023-02-23,2027-01-31,2028-01-31,541519,DC01,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,NO SET ASIDE USED.,NONE,5.0,0.0,,False,False,False,,USAspending,O,True,False,True,False,False,False,False,False,False,Medium
CONT_AWD_HDTRA125FE010_9700_HDTRA119D0004_9700,HDTRA125FE010,HDTRA119D0004,DELIVERY ORDER,"LEIDOS, INC.","LEIDOS, INC",X38JVP4R72E1,Department of Defense,DEPARTMENT OF DEFENSE,Defense Threat Reduction Agency,DEFENSE THREAT REDUCTION AGENCY,DEPARTMENT OF DEFENSE,2026-03-05,67971714.05,205199559.55,2025-03-17,2027-03-16,2030-03-16,541512,DF01,FULL AND OPEN COMPETITION,A,COST PLUS AWARD FEE,R,,,4.0,0.0,VA,False,False,False,,USAspending,O,True,False,True,False,False,False,False,False,False,High
CONT_AWD_HT940214F0006_9700_HHSN316201200013W_7529,HT940214F0006,HHSN316201200013W,DELIVERY ORDER,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.","GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC",SMNWM6HN79X5,Department of Defense,DEPARTMENT OF DEFENSE,Defense Health Agency,DEFENSE HEALTH AGENCY,DEPARTMENT OF DEFENSE,2026-03-05,32134818.23,34008981.1,2014-07-25,2024-07-24,2024-07-24,541512,D318,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,2.0,0.0,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_W911S022P0003_9700_-NONE-_-NONE-,W911S022P0003,,PURCHASE ORDER,OSI VISION LLC,OSI VISION LLC,K9MCL74ARMP3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-05,4094034.0,4094034.0,2021-12-30,2026-06-29,2026-06-29,541512,DA01,NOT COMPETED UNDER SAP,G,FIRM FIXED PRICE,J,8(A) SOLE SOURCE,8AN,1.0,0.0,VA,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Medium
CONT_AWD_W56JSR25F0004_9700_W56JSR22D0005_9700,W56JSR25F0004,W56JSR22D0005,DELIVERY ORDER,"AGILE DECISION SCIENCES, LLC","AGILE DECISION SCIENCES, LLC",C6EMRJ67V4M3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-05,8979147.77,15380296.61,2025-09-23,2026-09-24,2026-09-24,541511,R425,NOT AVAILABLE FOR COMPETITION,B,COST PLUS FIXED FEE,U,,,,0.0,AL,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_N0018925F0253_9700_N6600121A0026_9700,N0018925F0253,N6600121A0026,BPA CALL,"FEDRESULTS, INC.","FEDRESULTS, INC",NFFFR55KQUE3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2026-03-05,5267725.3,8023324.3,2025-03-27,2025-08-27,2027-03-27,518210,7A21,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,2.0,-205073.0,DC,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_W909MY25F0037_9700_W909MY24D0001_9700,W909MY25F0037,W909MY24D0001,DELIVERY ORDER,"LEIDOS, INC.","LEIDOS, INC",UE9QJD4KK1L6,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-05,611393.09,611393.09,2025-03-05,2026-10-02,2026-10-02,541512,5810,FULL AND OPEN COMPETITION,A,COST NO FEE,S,,,,0.0,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_N0018924CZ124_9700_-NONE-_-NONE-,N0018924CZ124,,DEFINITIVE CONTRACT,STRYDER CORP,STRYDER CORP,KQSNMULKVC73,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2026-03-05,2809080.0,4298443.2,2024-09-30,2026-09-29,2027-09-29,541511,DA10,NOT COMPETED UNDER SAP,G,FIRM FIXED PRICE,J,NO SET ASIDE USED.,NONE,1.0,0.0,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_0015_9700_HC102813D0014_9700,0015,HC102813D0014,DELIVERY ORDER,"LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",L6NFCAPLNJ33,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2026-03-04,3453505.56,3453505.56,2014-09-16,2015-06-19,2015-06-19,541330,D316,FULL AND OPEN COMPETITION,A,COST PLUS FIXED FEE,U,,,,-652397.44,,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_HQ014718F0022_9700_HQ014718D0005_9700,HQ014718F0022,HQ014718D0005,DELIVERY ORDER,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,FNBAMFZ3GD53,Department of Defense,DEPARTMENT OF DEFENSE,Missile Defense Agency,MISSILE DEFENSE AGENCY,DEPARTMENT OF DEFENSE,2026-03-04,372265768.19,392983624.48,2018-03-02,2026-05-15,2026-05-15,541511,AC23,NOT COMPETED,C,COST PLUS AWARD FEE,R,,,,0.0,AL,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_FA873022F0004_9700_FA830721G0020_9700,FA873022F0004,FA830721G0020,DELIVERY ORDER,RAFT LLC,RAFT LLC,M9ALV9LKVDC3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-04,35883639.24,132260741.0,2022-06-15,2026-12-14,2026-12-14,541511,DA01,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,TIME AND MATERIALS,Y,SMALL BUSINESS SET ASIDE - TOTAL,SBA,10.0,0.0,VA,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Medium
CONT_AWD_FA821722F0338_9700_FA821717D0001_9700,FA821722F0338,FA821717D0001,DELIVERY ORDER,"SUMMIT TECHNOLOGIES, INC.","SUMMIT TECHNOLOGIES, INC",GQATLH2VY9K3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-04,343944.0,343944.0,2022-07-01,2026-03-04,2026-03-04,541513,R499,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,,-4500.0,FL,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_N0003926FE039_9700_N0003923D4001_9700,N0003926FE039,N0003923D4001,DELIVERY ORDER,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,NMHFLDYJJ4C5,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2026-03-04,1939628.63,1939628.88,2026-03-04,2026-08-31,2026-08-31,541511,7F20,FULL AND OPEN COMPETITION,A,COST PLUS FIXED FEE,U,,,,1939628.78,CA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_N6328526FS015_9700_N6600124A0062_9700,N6328526FS015,N6600124A0062,BPA CALL,"DLT SOLUTIONS, LLC","DLT SOLUTIONS, LLC",F1N2KDGBDTU8,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2026-03-04,274939.79,274939.79,2026-03-04,2027-03-05,2027-03-05,541519,7A21,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,3.0,274939.79,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_HT001426PE009_9700_-NONE-_-NONE-,HT001426PE009,,PURCHASE ORDER,NALU FEDERAL LLC,NALU FEDERAL LLC,MKT2MEXXNYV5,Department of Defense,DEPARTMENT OF DEFENSE,Defense Health Agency,DEFENSE HEALTH AGENCY,DEPARTMENT OF DEFENSE,2026-03-04,3428891.56,6188857.2,2025-10-01,2026-09-30,2026-09-30,541519,DA01,NOT AVAILABLE FOR COMPETITION,B,FIRM FIXED PRICE,J,8(A) SOLE SOURCE,8AN,1.0,0.0,MD,False,False,False,,USAspending,S,True,False,True,False,False,False,False,False,False,High
CONT_AWD_W9124723F0045_9700_W52P1J18DA013_9700,W9124723F0045,W52P1J18DA013,DELIVERY ORDER,FEDTEC VENTURES LLC,FEDTEC VENTURES LLC,PEB5W6DS37C3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-04,5019532.5,6230887.5,2023-02-21,2027-02-20,2028-02-20,541519,DE01,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,WOMEN OWNED SMALL BUSINESS,WOSB,7.0,0.0,VA,False,False,False,,USAspending,S,True,False,True,False,False,False,False,False,False,Medium
CONT_AWD_FA702226F0047_9700_NNG15SC65B_8000,FA702226F0047,NNG15SC65B,DELIVERY ORDER,"COUNTERTRADE PRODUCTS, INC.","COUNTERTRADE PRODUCTS, INC",CN4KSKX2UQY5,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-04,2805432.84,2805432.84,2026-03-04,2027-03-03,2027-03-03,541519,7B22,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,SMALL BUSINESS SET ASIDE - TOTAL,SBA,2.0,2805432.84,FL,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_FA821722F0148_9700_FA821717D0001_9700,FA821722F0148,FA821717D0001,DELIVERY ORDER,"SUMMIT TECHNOLOGIES, INC.","SUMMIT TECHNOLOGIES, INC",GQATLH2VY9K3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-04,709043.2,709043.2,2022-03-31,2026-03-04,2026-03-04,541513,R499,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,,-20109.8,FL,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_W519TC23F0177_9700_W52P1J18DA075_9700,W519TC23F0177,W52P1J18DA075,DELIVERY ORDER,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-04,27597538.67,60610003.72,2023-08-31,2026-09-18,2026-09-18,541519,R408,FULL AND OPEN COMPETITION,A,COST PLUS FIXED FEE,U,,,6.0,0.0,MA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_FA862025FB104_9700_FA862025GB001_9700,FA862025FB104,FA862025GB001,DELIVERY ORDER,"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC",UMA3J1BW1Z99,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-04,13607105.0,13607105.0,2025-07-01,2026-12-31,2026-12-31,541511,R425,NOT COMPETED,C,FIRM FIXED PRICE,J,NO SET ASIDE USED.,NONE,1.0,0.0,TX,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_FA821722F0353_9700_FA821717D0001_9700,FA821722F0353,FA821717D0001,DELIVERY ORDER,"SUMMIT TECHNOLOGIES, INC.","SUMMIT TECHNOLOGIES, INC",GQATLH2VY9K3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-04,4377021.0,4377021.0,2022-07-07,2026-03-04,2026-03-04,541513,R499,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,,-65000.0,FL,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_W519TC25FA006_9700_HC105023D0004_9700,W519TC25FA006,HC105023D0004,DELIVERY ORDER,"ORACLE AMERICA, INC","ORACLE AMERICA, INC",FKUCYGRK1EQ3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-04,1837650.0,1837650.0,2025-03-13,2027-03-12,2027-03-12,518210,DB10,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,1.0,619530.0,CA,False,False,False,,USAspending,O,True,False,False,True,False,False,False,False,False,Low
CONT_AWD_W912DY20F0524_9700_W912DY20D0038_9700,W912DY20F0524,W912DY20D0038,DELIVERY ORDER,SIEMENS GOVERNMENT TECHNOLOGIES INC,SIEMENS GOVERNMENT TECHNOLOGIES INC,R2VGJTEMCNL5,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-04,7436267.01,7436267.01,2020-08-12,2026-04-30,2026-04-30,541512,N059,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,1.0,-5674139.99,,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_HC105025F0049_9700_HC105023D0005_9700,HC105025F0049,HC105023D0005,DELIVERY ORDER,"AMAZON WEB SERVICES, INC.","AMAZON WEB SERVICES, INC",NQEWN6C1LSU5,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2026-03-04,10100000.0,70151347.61,2025-09-18,2026-09-17,2028-09-17,518210,DB10,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,1.0,0.0,DC,False,False,False,,USAspending,O,True,False,False,True,False,False,False,False,False,Low
CONT_AWD_SP470125C0100_9700_-NONE-_-NONE-,SP470125C0100,,DEFINITIVE CONTRACT,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,FZNCSKF4X6D9,Department of Defense,DEPARTMENT OF DEFENSE,Defense Logistics Agency,DEFENSE LOGISTICS AGENCY,DEPARTMENT OF DEFENSE,2026-03-04,8275478.4,13569052.8,2025-09-25,2026-09-24,2026-09-24,541511,DA01,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,NO SET ASIDE USED.,NONE,1.0,0.0,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Medium
CONT_AWD_W912DY20F06A3_9700_W52P1J18DA086_9700,W912DY20F06A3,W52P1J18DA086,DELIVERY ORDER,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.","GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC",SMNWM6HN79X5,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-03,10498012.27,10522910.02,2020-09-21,2025-09-18,2025-09-18,541519,D308,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,2.0,0.0,AL,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_HC102824F0585_9700_HC102817D0001_9700,HC102824F0585,HC102817D0001,DELIVERY ORDER,MICROSOFT CORPORATION,MICROSOFT CORPORATION,FMVPEWNJGLM1,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2026-03-03,2394180.73,2654243.34,2024-05-15,2026-12-19,2026-12-19,541512,R425,NOT COMPETED,C,FIRM FIXED PRICE,J,,,,0.0,FL,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_FA703726F0017_9700_FA703725D0001_9700,FA703726F0017,FA703725D0001,DELIVERY ORDER,"LEIDOS, INC.","LEIDOS, INC",QLNMVC12KWY3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-03,8979040.39,10690877.09,2026-03-17,2027-03-16,2027-03-16,541513,R423,COMPETED UNDER SAP,F,FIRM FIXED PRICE,J,,,,10690877.09,TX,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_HC104725C4001_9700_-NONE-_-NONE-,HC104725C4001,,DEFINITIVE CONTRACT,TRILLION TECHNOLOGY SOLUTIONS INC,TRILLION TECHNOLOGY SOLUTIONS INC,JL52GGBB7YE5,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2026-03-03,3126816.29,3168826.69,2025-01-14,2026-08-21,2026-08-21,541512,DA01,NOT AVAILABLE FOR COMPETITION,B,FIRM FIXED PRICE,J,8(A) SOLE SOURCE,8AN,1.0,0.0,MD,False,False,False,,USAspending,S,True,False,True,False,False,False,False,False,False,High
CONT_AWD_SP470924F0077_9700_SP470917D0023_9700,SP470924F0077,SP470917D0023,DELIVERY ORDER,ACCENTURE FEDERAL SERVICES LLC,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,Department of Defense,DEPARTMENT OF DEFENSE,Defense Logistics Agency,DEFENSE LOGISTICS AGENCY,DEPARTMENT OF DEFENSE,2026-03-03,4948419.62,9309620.25,2024-06-30,2026-07-28,2026-07-28,541519,DF01,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,3.0,0.0,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Medium
